File;Date;Type;NbAlignedChar
fr_monograph\1.txt;1859;monograph;165389
fr_monograph\2.txt;1864;monograph;73340
fr_monograph\3.txt;1861;monograph;71530
fr_monograph\4.txt;1857;monograph;161566
fr_monograph\5.txt;1752;monograph;191998
fr_monograph\6.txt;1883;monograph;31640
fr_monograph\7.txt;1876;monograph;105119
fr_monograph\8.txt;1783;monograph;157154
fr_monograph\9.txt;1761;monograph;45658
fr_monograph\10.txt;1854;monograph;163052
fr_monograph\11.txt;1765;monograph;126612
fr_monograph\12.txt;1860;monograph;100884
fr_monograph\13.txt;1689;monograph;90728
fr_monograph\14.txt;1804;monograph;52351
fr_monograph\15.txt;1867;monograph;19467
fr_monograph\16.txt;1758;monograph;141150
fr_monograph\17.txt;1781;monograph;68597
fr_monograph\18.txt;1755;monograph;74352
eng_monograph\1.txt;1860;monograph;1975
eng_monograph\2.txt;1860;monograph;2766
eng_monograph\3.txt;1860;monograph;3645
eng_monograph\4.txt;1860;monograph;3424
eng_monograph\5.txt;1860;monograph;2723
eng_monograph\6.txt;1860;monograph;3570
eng_monograph\7.txt;1860;monograph;4020
eng_monograph\8.txt;1860;monograph;2563
eng_monograph\9.txt;1860;monograph;3550
eng_monograph\10.txt;1860;monograph;4196
eng_monograph\11.txt;1860;monograph;3491
eng_monograph\12.txt;1860;monograph;3713
eng_monograph\13.txt;1860;monograph;3082
eng_monograph\14.txt;1860;monograph;4316
eng_monograph\15.txt;1860;monograph;3190
eng_monograph\16.txt;1860;monograph;3634
eng_monograph\17.txt;1860;monograph;3357
eng_monograph\18.txt;1860;monograph;3219
eng_monograph\19.txt;1860;monograph;3188
eng_monograph\20.txt;1860;monograph;3656
eng_monograph\21.txt;1860;monograph;3614
eng_monograph\22.txt;1860;monograph;2691
eng_monograph\23.txt;1860;monograph;3557
eng_monograph\24.txt;1860;monograph;2311
eng_monograph\25.txt;1860;monograph;3838
eng_monograph\26.txt;1860;monograph;4929
eng_monograph\27.txt;1860;monograph;2147
eng_monograph\28.txt;1860;monograph;3777
eng_monograph\29.txt;1860;monograph;3894
eng_monograph\30.txt;1860;monograph;3131
eng_monograph\31.txt;1860;monograph;4428
